Name,Gene Name
ENSG00000117643,mannosidase alpha class 1C member 1(MAN1C1)
ENSG00000228057,"SEC63 homolog, protein translocation regulator pseudogene 1(SEC63P1)"
ENSG00000116793,putative homeodomain transcription factor 1(PHTF1)
ENSG00000117640,mitochondrial fission regulator 1 like(MTFR1L)
ENSG00000186150,ubiquitin like 4B(UBL4B)
ENSG00000116791,crystallin zeta(CRYZ)
ENSG00000158195,WASP family member 2(WASF2)
ENSG00000233406,ribosomal protein S2 pseudogene 8(RPS2P8)
ENSG00000232558,KCND3 intronic transcript 1(KCND3-IT1)
ENSG00000223603,C-reactive protein pseudogene 1(CRPP1)
ENSG00000233401,protein kinase cAMP-dependent type I regulatory subunit alpha pseudogene 1(PRKAR1AP1)
ENSG00000142615,chymotrypsin like elastase 2A(CELA2A)
ENSG00000142611,PR/SET domain 16(PRDM16)
ENSG00000232551,MT-CO1 pseudogene 14(MTCO1P14)
ENSG00000198162,mannosidase alpha class 1A member 2(MAN1A2)
ENSG00000179403,von Willebrand factor A domain containing 1(VWA1)
ENSG00000266338,NBPF member 15(NBPF15)
ENSG00000123080,cyclin dependent kinase inhibitor 2C(CDKN2C)
ENSG00000268993,ribosomal protein L22 pseudogene 6(RPL22P6)
ENSG00000117676,ribosomal protein S6 kinase A1(RPS6KA1)
ENSG00000231237,olfactory receptor family 6 subfamily K member 1 pseudogene(OR6K1P)
ENSG00000253022,"RNA, U6 small nuclear 731, pseudogene(RNU6-731P)"
ENSG00000010803,Scm polycomb group protein homolog 1(SCMH1)
ENSG00000200536,small nucleolar RNA SNORA25(LOC124900436)
ENSG00000180869,long intergenic non-protein coding RNA 1555(LINC01555)
ENSG00000276584,microRNA 6737(MIR6737)
ENSG00000234741,growth arrest specific 5(GAS5)
ENSG00000253025,"RNA, U2 small nuclear 12, pseudogene(RNU2-12P)"
ENSG00000198160,MIER1 transcriptional regulator(MIER1)
ENSG00000179412,heterogeneous nuclear ribonucleoprotein C like 4(HNRNPCL4)
ENSG00000123091,ring finger protein 11(RNF11)
ENSG00000000460,FIGNL1 interacting regulator of recombination and mitosis(FIRRM)
ENSG00000240194,"chymosin, pseudogene(CYMP)"
ENSG00000116337,adenosine monophosphate deaminase 2(AMPD2)
ENSG00000168765,glutathione S-transferase mu 4(GSTM4)
ENSG00000085552,immunoglobulin superfamily member 9(IGSF9)
ENSG00000159023,erythrocyte membrane protein band 4.1(EPB41)
ENSG00000231246,long intergenic non-protein coding RNA 2884(LINC02884)
ENSG00000233421,long intergenic non-protein coding RNA 1783(LINC01783)
ENSG00000252162,"RNA, U6 small nuclear 830, pseudogene(RNU6-830P)"
ENSG00000160803,ubiquilin 4(UBQLN4)
ENSG00000000457,SCY1 like pseudokinase 3(SCYL3)
ENSG00000117616,arginine and serine rich protein 1(RSRP1)
ENSG00000117614,SYF2 pre-mRNA splicing factor(SYF2)
ENSG00000134198,tetraspanin 2(TSPAN2)
ENSG00000265422,microRNA 4684(MIR4684)
ENSG00000116761,cystathionine gamma-lyase(CTH)
ENSG00000233839,ribosomal protein S19 pseudogene 2(RPS19P2)
ENSG00000252116,"RNA, U4atac small nuclear 4, pseudogene(RNU4ATAC4P)"
ENSG00000274386,transmembrane protein 269(TMEM269)
ENSG00000158161,EYA transcriptional coactivator and phosphatase 3(EYA3)
ENSG00000134193,regenerating family member 4(REG4)
ENSG00000180409,olfactory receptor family 10 subfamily AA member 1 pseudogene(OR10AA1P)
ENSG00000131914,lin-28 homolog A(LIN28A)
ENSG00000055732,mucolipin TRP cation channel 3(MCOLN3)
ENSG00000200913,"small nucleolar RNA, C/D box 46(SNORD46)"
ENSG00000127423,aurora kinase A and ninein interacting protein(AUNIP)
ENSG00000181754,adhesion molecule with Ig like domain 1(AMIGO1)
ENSG00000239149,"small nucleolar RNA, H/ACA box 59A(SNORA59A)"
ENSG00000178104,phosphodiesterase 4D interacting protein(PDE4DIP)
ENSG00000160818,G-patch domain containing 4 (gene/pseudogene)(GPATCH4)
ENSG00000178585,catenin beta interacting protein 1(CTNNBIP1)
ENSG00000158156,XK related 8(XKR8)
ENSG00000206684,"RNA, U6 small nuclear 157, pseudogene(RNU6-157P)"
ENSG00000117602,RCAN family member 3(RCAN3)
ENSG00000116754,serine and arginine rich splicing factor 11(SRSF11)
ENSG00000117601,serpin family C member 1(SERPINC1)
ENSG00000117600,phospholipid phosphatase related 4(PLPPR4)
ENSG00000116752,BCAS2 pre-mRNA processing factor(BCAS2)
ENSG00000229344,MT-CO2 pseudogene 12(MTCO2P12)
ENSG00000020633,RUNX family transcription factor 3(RUNX3)
ENSG00000228013,IL6R antisense RNA 1(IL6R-AS1)
ENSG00000206680,"small nucleolar RNA, C/D box 21(SNORD21)"
ENSG00000278757,U6 spliceosomal RNA(LOC124904706)
ENSG00000252105,"RNA, U1 small nuclear 143, pseudogene(RNU1-143P)"
ENSG00000171943,SLIT-ROBO Rho GTPase activating protein 2C(SRGAP2C)
ENSG00000229348,HYI antisense RNA 1(HYI-AS1)
ENSG00000232514,ribosomal protein L21 pseudogene 25(RPL21P25)
ENSG00000187048,cytochrome P450 family 4 subfamily A member 11(CYP4A11)
ENSG00000281912,long intergenic non-protein coding RNA 1144(LINC01144)
ENSG00000230337,EXOSC10 antisense RNA 1(EXOSC10-AS1)
ENSG00000231666,long intergenic non-protein coding RNA 1704(LINC01704)
ENSG00000126106,transmembrane protein 53(TMEM53)
ENSG00000126107,HECT domain E3 ubiquitin protein ligase 3(HECTD3)
ENSG00000175087,PDLIM1 interacting kinase 1 like(PDIK1L)
ENSG00000180433,olfactory receptor family 6 subfamily K member 6(OR6K6)
ENSG00000264592,"RNA, 7SL, cytoplasmic 131, pseudogene(RN7SL131P)"
ENSG00000171960,peptidylprolyl isomerase H(PPIH)
ENSG00000116786,pleckstrin homology and RUN domain containing M2(PLEKHM2)
ENSG00000159479,mediator complex subunit 8(MED8)
ENSG00000117632,stathmin 1(STMN1)
ENSG00000116783,TNNI3 interacting kinase(TNNI3K)
ENSG00000229359,"peptidylprolyl cis/trans isomerase, NIMA-interacting 1 pseudogene 1(PIN1P1)"
ENSG00000232527,long intergenic non-protein coding RNA 2802(LINC02802)
ENSG00000169641,leucine zipper protein 1(LUZP1)
ENSG00000207523,"small nucleolar RNA, H/ACA box 66(SNORA66)"
ENSG00000231671,long intergenic non-protein coding RNA 1307(LINC01307)
ENSG00000252135,"RNA, U1 small nuclear 155 pseudogene(RNU1-155P)"
ENSG00000224904,SBF1 pseudogene 2(SBF1P2)
ENSG00000265435,microRNA 3121(MIR3121)
ENSG00000198198,SZT2 subunit of KICSTOR complex(SZT2)
ENSG00000181773,G protein-coupled receptor 3(GPR3)
ENSG00000131910,nuclear receptor subfamily 0 group B member 2(NR0B2)
ENSG00000160838,leucine rich repeat containing 71(LRRC71)
ENSG00000207511,"RNA, U6 small nuclear 771, pseudogene(RNU6-771P)"
ENSG00000134186,pre-mRNA processing factor 38B(PRPF38B)
ENSG00000264582,"RNA, 7SL, cytoplasmic 326, pseudogene(RN7SL326P)"
ENSG00000028137,TNF receptor superfamily member 1B(TNFRSF1B)
ENSG00000204480,PRAME family member 19(PRAMEF19)
ENSG00000264101,microRNA 4689(MIR4689)
ENSG00000228037,uncharacterized LOC100996583(LOC100996583)
ENSG00000065526,spen family transcriptional repressor(SPEN)
ENSG00000116774,olfactomedin like 3(OLFML3)
ENSG00000228035,NGF antisense RNA 1(NGF-AS1)
ENSG00000204481,PRAME family member 14(PRAMEF14)
ENSG00000117620,solute carrier family 35 member A3(SLC35A3)
ENSG00000188396,dynein light chain Tctex-type 4(DYNLT4)
ENSG00000116771,agmatinase(AGMAT)
ENSG00000134184,glutathione S-transferase mu 1(GSTM1)
ENSG00000275229,"RNA, U1 small nuclear 68, pseudogene(RNU1-68P)"
ENSG00000204006,chromosome 1 open reading frame 185(C1orf185)
ENSG00000207513,"RNA, U1 small nuclear 3(RNU1-3)"
ENSG00000234711,tubulin beta 8 class VIII pseudogene 11(TUBB8P11)
ENSG00000277882,COMM domain-containing protein 6-like(LOC102724602)
ENSG00000177272,potassium voltage-gated channel subfamily A member 3(KCNA3)
ENSG00000180437,olfactory receptor family 6 subfamily K member 4 pseudogene(OR6K4P)
ENSG00000252121,"RNA, U6 small nuclear 970, pseudogene(RNU6-970P)"
ENSG00000283296,microRNA 4256(MIR4256)
ENSG00000221808,microRNA 1256(MIR1256)
ENSG00000116729,Wnt ligand secretion mediator(WLS)
ENSG00000116726,PRAME family member 12(PRAMEF12)
ENSG00000224081,SLC44A3 antisense RNA 1(SLC44A3-AS1)
ENSG00000159455,late cornified envelope 2B(LCE2B)
ENSG00000240563,LINE1 type transposase domain containing 1(L1TD1)
ENSG00000116721,PRAME family member 1(PRAMEF1)
ENSG00000171502,collagen type XXIV alpha 1 chain(COL24A1)
ENSG00000230768,long intergenic non-protein coding RNA 1676(LINC01676)
ENSG00000231615,centrosomal protein 57kDa pseudogene(LOC646870)
ENSG00000159450,trichohyalin(TCHH)
ENSG00000049089,collagen type IX alpha 2 chain(COL9A2)
ENSG00000201801,"RNA, U5E small nuclear 4, pseudogene(RNU5E-4P)"
ENSG00000252552,"RNA, U6 small nuclear 307, pseudogene(RNU6-307P)"
ENSG00000058804,NDC1 transmembrane nucleoporin(NDC1)
ENSG00000284154,microRNA 3605(MIR3605)
ENSG00000263676,microRNA 4632(MIR4632)
ENSG00000264522,OTU deubiquitinase 7B(OTUD7B)
ENSG00000263675,microRNA 5581(MIR5581)
ENSG00000204060,forkhead box O6(FOXO6)
ENSG00000160856,Fc receptor like 3(FCRL3)
ENSG00000116717,growth arrest and DNA damage inducible alpha(GADD45A)
ENSG00000159445,thioesterase superfamily member 4(THEM4)
ENSG00000229780,UBE2Q1 antisense RNA 1(UBE2Q1-AS1)
ENSG00000189266,proline rich nuclear receptor coactivator 2(PNRC2)
ENSG00000230779,ribosomal protein lateral stalk subunit P0 pseudogene 4(RPLP0P4)
ENSG00000229305,eukaryotic translation initiation factor 2 subunit gamma pseudogene(LOC100129776)
ENSG00000254726,mex-3 RNA binding family member A(MEX3A)
ENSG00000232952,matrin 3 pseudogene(LOC401957)
ENSG00000079739,phosphoglucomutase 1(PGM1)
ENSG00000238256,MT-ND5 pseudogene 20(MTND5P20)
ENSG00000158109,tumor protein p63 regulated 1 like(TPRG1L)
ENSG00000242769,"RNA, 7SL, cytoplasmic 432, pseudogene(RN7SL432P)"
ENSG00000242764,"RNA, 7SL, cytoplasmic 824, pseudogene(RN7SL824P)"
ENSG00000183508,terminal nucleotidyltransferase 5C(TENT5C)
ENSG00000143093,striatin interacting protein 1(STRIP1)
ENSG00000116748,adenosine monophosphate deaminase 1(AMPD1)
ENSG00000179002,taste 1 receptor member 2(TAS1R2)
ENSG00000116745,retinoid isomerohydrolase RPE65(RPE65)
ENSG00000264553,microRNA 4257(MIR4257)
ENSG00000228463,ribosomal protein L23a pseudogene 21(RPL23AP21)
ENSG00000252578,"RNA, U6 small nuclear 135, pseudogene(RNU6-135P)"
ENSG00000171517,lysophosphatidic acid receptor 3(LPAR3)
ENSG00000086015,microtubule associated serine/threonine kinase 2(MAST2)
ENSG00000230787,phosphoserine aminotransferase 1 pseudogene 3(PSAT1P3)
ENSG00000180488,mitoguardin 1(MIGA1)
ENSG00000077549,capping actin protein of muscle Z-line subunit beta(CAPZB)
ENSG00000163909,hes related family bHLH transcription factor with YRPW motif like(HEYL)
ENSG00000189280,gap junction protein beta 5(GJB5)
ENSG00000226292,RPS3A pseudogene 10(RPS3AP10)
ENSG00000159423,aldehyde dehydrogenase 4 family member A1(ALDH4A1)
ENSG00000116731,PR/SET domain 2(PRDM2)
ENSG00000284138,ATPase H+ transporting V0 subunit c pseudogene 4(ATP6V0CP4)
ENSG00000233819,late cornified envelope pseudogene 1(LCEP1)
ENSG00000196805,small proline rich protein 2B(SPRR2B)
ENSG00000169213,"RAB3B, member RAS oncogene family(RAB3B)"
ENSG00000230798,FOXD3 antisense RNA 1(FOXD3-AS1)
ENSG00000252563,"RNA, 5S ribosomal pseudogene 45(RNA5SP45)"
ENSG00000169218,R-spondin 1(RSPO1)
ENSG00000116809,zinc finger and BTB domain containing 17(ZBTB17)
ENSG00000236268,long intergenic non-protein coding RNA 1361(LINC01361)
ENSG00000143190,POU class 2 homeobox 1(POU2F1)
ENSG00000162706,cell adhesion molecule 3(CADM3)
ENSG00000143194,maelstrom spermatogenic transposon silencer(MAEL)
ENSG00000065135,G protein subunit alpha i3(GNAI3)
ENSG00000234080,ribosomal protein S2 pseudogene 11(RPS2P11)
ENSG00000227311,ribosomal protein L21 pseudogene 20(RPL21P20)
ENSG00000224286,long intergenic non-protein coding RNA 1142(LINC01142)
ENSG00000273694,U2 spliceosomal RNA(LOC124904641)
ENSG00000227312,ribosomal protein L26 pseudogene 8(RPL26P8)
ENSG00000252752,"RNA, U6 small nuclear 210, pseudogene(RNU6-210P)"
ENSG00000143195,immunoglobulin like domain containing receptor 2(ILDR2)
ENSG00000212292,"RNA, U6 small nuclear 239, pseudogene(RNU6-239P)"
ENSG00000143196,dermatopontin(DPT)
ENSG00000143198,microsomal glutathione S-transferase 3(MGST3)
ENSG00000143199,adenylate cyclase 10(ADCY10)
ENSG00000252750,"RNA, U7 small nuclear 70 pseudogene(RNU7-70P)"
ENSG00000273698,mitochondrial ribosomal protein L57 pseudogene 1(MRPL57P1)
ENSG00000234088,ribosomal protein S15a pseudogene 7(RPS15AP7)
ENSG00000159527,peptidoglycan recognition protein 3(PGLYRP3)
ENSG00000264720,microRNA 3117(MIR3117)
ENSG00000134249,ADAM metallopeptidase domain 30(ADAM30)
ENSG00000234093,ribosomal protein S15a pseudogene 11(RPS15AP11)
ENSG00000143183,transmembrane and coiled-coil domains 1(TMCO1)
ENSG00000134243,sortilin 1(SORT1)
ENSG00000188092,G protein-coupled receptor 89B(GPR89B)
ENSG00000134242,protein tyrosine phosphatase non-receptor type 22(PTPN22)
ENSG00000134247,prostaglandin F2 receptor inhibitor(PTGFRN)
ENSG00000201153,"RNA, U6 small nuclear 371, pseudogene(RNU6-371P)"
ENSG00000134248,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 5(LAMTOR5)"
ENSG00000134245,Wnt family member 2B(WNT2B)
ENSG00000226476,long intergenic non-protein coding RNA 1748(LINC01748)
ENSG00000173846,polo like kinase 3(PLK3)
ENSG00000229985,ribosomal protein L18a pseudogene 5(RPL18AP5)
ENSG00000134240,3-hydroxy-3-methylglutaryl-CoA synthase 2(HMGCS2)
ENSG00000143184,X-C motif chemokine ligand 1(XCL1)
ENSG00000143185,X-C motif chemokine ligand 2(XCL2)
ENSG00000162723,SLAM family member 9(SLAMF9)
ENSG00000162729,immunoglobulin superfamily member 8(IGSF8)
ENSG00000159516,small proline rich protein 2G(SPRR2G)
ENSG00000134216,chitinase acidic(CHIA)
ENSG00000215784,family with sequence similarity 72 member D(FAM72D)
ENSG00000265606,microRNA 4695(MIR4695)
ENSG00000143171,retinoid X receptor gamma(RXRG)
ENSG00000162728,potassium inwardly rectifying channel subfamily J member 9(KCNJ9)
ENSG00000239319,"RNA, 7SL, cytoplasmic 854, pseudogene(RN7SL854P)"
ENSG00000171680,pleckstrin homology and RhoGEF domain containing G5(PLEKHG5)
ENSG00000215788,TNF receptor superfamily member 25(TNFRSF25)
ENSG00000116824,CD2 molecule(CD2)
ENSG00000157330,cilia and flagella associated protein 107(CFAP107)
ENSG00000201142,"RNA, U1 small nuclear 151, pseudogene(RNU1-151P)"
ENSG00000134698,argonaute RISC component 4(AGO4)
ENSG00000134215,vav guanine nucleotide exchange factor 3(VAV3)
ENSG00000229994,ribosomal protein L5 pseudogene 4(RPL5P4)
ENSG00000075391,RAS protein activator like 2(RASAL2)
ENSG00000226483,ribosomal protein L7 like 1 pseudogene(LOC100420170)
ENSG00000225154,tubulin alpha pseudogene 9(TUBAP9)
ENSG00000134697,G protein nucleolar 2(GNL2)
ENSG00000283477,microRNA 6079(MIR6079)
ENSG00000196505,ganglioside induced differentiation associated protein 2(GDAP2)
ENSG00000252777,small Cajal body-specific RNA 24(LOC124904809)
ENSG00000225159,nucleophosmin 1 pseudogene 39(NPM1P39)
ENSG00000226003,peptidylprolyl isomerase A pseudogene 37(PPIAP37)
ENSG00000225158,heat shock protein family E (Hsp10) member 1 pseudogene 24(HSPE1P24)
ENSG00000134690,cell division cycle associated 8(CDCA8)
ENSG00000201148,"RNA, 5S ribosomal pseudogene 42(RNA5SP42)"
ENSG00000162733,discoidin domain receptor tyrosine kinase 2(DDR2)
ENSG00000162734,proliferation and apoptosis adaptor protein 15(PEA15)
ENSG00000162735,peroxisomal biogenesis factor 19(PEX19)
ENSG00000179163,alpha-L-fucosidase 1(FUCA1)
ENSG00000237131,cytochrome c oxidase subunit NDUFA4-like(LOC107985453)
ENSG00000239794,"RNA, 7SL, cytoplasmic 653, pseudogene(RN7SL653P)"
ENSG00000143178,T-box transcription factor 19(TBX19)
ENSG00000143179,uridine-cytidine kinase 2(UCK2)
ENSG00000212266,small nucleolar RNA SNORA40(LOC124900444)
ENSG00000116819,transcription factor AP-2 epsilon(TFAP2E)
ENSG00000185839,adenylate kinase 2 pseudogene 1(AK2P1)
ENSG00000162736,nicastrin(NCSTN)
ENSG00000162738,VANGL planar cell polarity protein 2(VANGL2)
ENSG00000116815,CD58 molecule(CD58)
ENSG00000076258,flavin containing dimethylaniline monoxygenase 4(FMO4)
ENSG00000162739,SLAM family member 6(SLAMF6)
ENSG00000179178,transmembrane protein 125(TMEM125)
ENSG00000134222,proline and serine rich coiled-coil 1(PSRC1)
ENSG00000260386,"leucine decarboxylase 1, pseudogene(LDC1P)"
ENSG00000201135,"RNA, U6 small nuclear 777, pseudogene(RNU6-777P)"
ENSG00000252765,small Cajal body-specific RNA 16(LOC124900440)
ENSG00000226015,chaperonin containing TCP1 subunit 8 pseudogene 1(CCT8P1)
ENSG00000236290,eukaryotic translation elongation factor 1 gamma pseudogene 7(EEF1GP7)
ENSG00000182330,PRAME family member 8(PRAMEF8)
ENSG00000143162,cellular repressor of E1A stimulated genes 1(CREG1)
ENSG00000179172,heterogeneous nuclear ribonucleoprotein C like 1(HNRNPCL1)
ENSG00000162745,olfactomedin like 2B(OLFML2B)
ENSG00000143164,DDB1 and CUL4 associated factor 6(DCAF6)
ENSG00000162746,Fc receptor like B(FCRLB)
ENSG00000143167,glycoprotein A33(GPA33)
ENSG00000206828,U1 spliceosomal RNA(LOC124904627)
ENSG00000252760,"RNA, 5S ribosomal pseudogene 54(RNA5SP54)"
ENSG00000263841,"RNA, 7SL, cytoplasmic 44, pseudogene(RN7SL44P)"
ENSG00000261664,TTC39A antisense RNA 1(TTC39A-AS1)
ENSG00000237556,KCND3 antisense RNA 1(KCND3-AS1)
ENSG00000162747,Fc gamma receptor IIIb(FCGR3B)
ENSG00000094975,SUN domain containing ossification factor(SUCO)
ENSG00000060718,collagen type XI alpha 1 chain(COL11A1)
ENSG00000197852,inka box actin regulator 2(INKA2)
ENSG00000198703,olfactory receptor family 10 subfamily R member 3 pseudogene(OR10R3P)
ENSG00000122218,COPI coat complex subunit alpha(COPA)
ENSG00000196517,solute carrier family 6 member 9(SLC6A9)
ENSG00000230921,HAO2 intronic transcript 1(HAO2-IT1)
ENSG00000228606,DCAF8 divergent transcript(DCAF8-DT)
ENSG00000222069,RN7SK pseudogene 285(RN7SKP285)
ENSG00000275836,microRNA 6068(MIR6068)
ENSG00000251866,small Cajal body-specific RNA 21B(SCARNA21B)
ENSG00000162755,kelch domain containing 9(KLHDC9)
ENSG00000143153,ATPase Na+/K+ transporting subunit beta 1(ATP1B1)
ENSG00000235378,mitochondrial ribosomal protein S10 pseudogene 1(MRPS10P1)
ENSG00000143155,TOR signaling pathway regulator(TIPRL)
ENSG00000143156,NME/NM23 family member 7(NME7)
ENSG00000143157,pogo transposable element derived with KRAB domain(POGK)
ENSG00000162753,solute carrier family 9 member C2 (putative)(SLC9C2)
ENSG00000237552,long intergenic non-protein coding RNA 2567(LINC02567)
ENSG00000143158,mitochondrial pyruvate carrier 2(MPC2)
ENSG00000134207,synaptotagmin 6(SYT6)
ENSG00000065183,WD repeat domain 3(WDR3)
ENSG00000181036,Fc receptor like 6(FCRL6)
ENSG00000088280,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 3(ASAP3)"
ENSG00000094963,flavin containing dimethylaniline monoxygenase 2(FMO2)
ENSG00000207730,microRNA 200b(MIR200B)
ENSG00000134200,thyroid stimulating hormone subunit beta(TSHB)
ENSG00000134684,tyrosyl-tRNA synthetase 1(YARS1)
ENSG00000206880,"RNA, U6 small nuclear 1310, pseudogene(RNU6-1310P)"
ENSG00000134201,glutathione S-transferase mu 5(GSTM5)
ENSG00000134202,glutathione S-transferase mu 3(GSTM3)
ENSG00000134686,polyhomeotic homolog 2(PHC2)
ENSG00000224255,PDCL3 pseudogene 6(PDCL3P6)
ENSG00000143149,aldehyde dehydrogenase 9 family member A1(ALDH9A1)
ENSG00000173406,DAB adaptor protein 1(DAB1)
ENSG00000224259,long intergenic non-protein coding RNA 1133(LINC01133)
ENSG00000206888,"RNA, U6 small nuclear 48, pseudogene(RNU6-48P)"
ENSG00000185860,coiled-coil domain containing 190(CCDC190)
ENSG00000079335,cell division cycle 14A(CDC14A)
ENSG00000183682,bone morphogenetic protein 8a(BMP8A)
ENSG00000213171,leucine rich repeat and Ig domain containing 4(LINGO4)
ENSG00000152092,astrotactin 1(ASTN1)
ENSG00000162761,LIM homeobox transcription factor 1 alpha(LMX1A)
ENSG00000122224,lymphocyte antigen 9(LY9)
ENSG00000186715,macrophage stimulating 1 like (pseudogene)(MST1L)
ENSG00000162763,leucine rich repeat containing 52(LRRC52)
ENSG00000122223,CD244 molecule(CD244)
ENSG00000143147,G protein-coupled receptor 161(GPR161)
ENSG00000273629,U7 small nuclear RNA(LOC124904756)
ENSG00000180198,regulator of chromosome condensation 1(RCC1)
ENSG00000067334,deoxynucleotidyltransferase terminal interacting protein 2(DNTTIP2)
ENSG00000202031,"small nucleolar RNA, C/D box 38A(SNORD38A)"
ENSG00000224261,ribosomal protein SA pseudogene 18(RPSAP18)
ENSG00000201183,"RNA, variant U1 small nuclear 3(RNVU1-3)"
ENSG00000226446,notch 2 pseudogene 1(NOTCH2P1)
ENSG00000033122,leucine rich repeat containing 7(LRRC7)
ENSG00000227777,ribosomal protein L7a pseudogene 19(RPL7AP19)
ENSG00000204219,transcription elongation factor A3(TCEA3)
ENSG00000125703,autophagy related 4C cysteine peptidase(ATG4C)
ENSG00000207721,microRNA 186(MIR186)
ENSG00000230942,high mobility group nucleosome binding domain 1 pseudogene 5(HMGN1P5)
ENSG00000162777,DENN domain containing 2D(DENND2D)
ENSG00000271459,solute carrier family 5 member 4 pseudogene(LOC100422549)
ENSG00000162779,axonemal dynein light chain domain containing 1(AXDND1)
ENSG00000274963,"RNA, 7SL, cytoplasmic 600, pseudogene(RN7SL600P)"
ENSG00000207729,microRNA 556(MIR556)
ENSG00000162775,RNA binding motif protein 15(RBM15)
ENSG00000152078,TLC domain containing 4(TLCD4)
ENSG00000134668,SPOC domain containing 1(SPOCD1)
ENSG00000275816,microRNA 6500(MIR6500)
ENSG00000252717,"RNA, U6 small nuclear 352, pseudogene(RNU6-352P)"
ENSG00000198711,SSBP3 antisense RNA 1(SSBP3-AS1)
ENSG00000240750,"RNA, 7SL, cytoplasmic 559, pseudogene(RN7SL559P)"
ENSG00000132485,zinc finger RANBP2-type containing 2(ZRANB2)
ENSG00000283442,U4 spliceosomal RNA(LOC124904686)
ENSG00000173436,mitochondrial contact site and cristae organizing system subunit 10(MICOS10)
ENSG00000198715,glycosylated lysosomal membrane protein(GLMP)
ENSG00000143126,cadherin EGF LAG seven-pass G-type receptor 2(CELSR2)
ENSG00000226457,ribosomal protein L22 pseudogene 3(RPL22P3)
ENSG00000224276,ARHGEF2 antisense RNA 1(ARHGEF2-AS1)
ENSG00000251875,"RNA, U5F small nuclear 2, pseudogene(RNU5F-2P)"
ENSG00000143127,integrin subunit alpha 10(ITGA10)
ENSG00000162782,tudor domain containing 5(TDRD5)
ENSG00000203356,long intergenic non-protein coding RNA 1562(LINC01562)
ENSG00000278099,"RNA, variant U1 small nuclear 2A(RNVU1-2A)"
ENSG00000274978,"RNA, U11 small nuclear(RNU11)"
ENSG00000188910,gap junction protein beta 3(GJB3)
ENSG00000162783,immediate early response 5(IER5)
ENSG00000236253,solute carrier family 25 member 3 pseudogene 1(SLC25A3P1)
ENSG00000143125,prokineticin 1(PROK1)
ENSG00000187608,ISG15 ubiquitin like modifier(ISG15)
ENSG00000152061,RAB GTPase activating protein 1 like(RABGAP1L)
ENSG00000143590,ephrin A3(EFNA3)
ENSG00000283414,U6 spliceosomal RNA(LOC124904721)
ENSG00000283899,microRNA 761(MIR761)
ENSG00000198744,MT-CO3 pseudogene 12(MTCO3P12)
ENSG00000198746,G-patch domain containing 3(GPATCH3)
ENSG00000248642,olfactory receptor family 10 subfamily J member 2 pseudogene(OR10J2P)
ENSG00000006555,tetratricopeptide repeat domain 22(TTC22)
ENSG00000117298,endothelin converting enzyme 1(ECE1)
ENSG00000143119,CD53 molecule(CD53)
ENSG00000224203,ribosomal protein S23 pseudogene 10(RPS23P10)
ENSG00000266075,"RNA, 7SL, cytoplasmic 574, pseudogene(RN7SL574P)"
ENSG00000224687,RASAL2 antisense RNA 1(RASAL2-AS1)
ENSG00000203740,N-terminal Xaa-Pro-Lys N-methyltransferase 2(NTMT2)
ENSG00000184588,phosphodiesterase 4B(PDE4B)
ENSG00000224209,long intergenic non-protein coding RNA 466(LINC00466)
ENSG00000143110,chromosome 1 open reading frame 162(C1orf162)
ENSG00000143595,aquaporin 10(AQP10)
ENSG00000203747,Fc gamma receptor IIIa(FCGR3A)
ENSG00000185436,interferon lambda receptor 1(IFNLR1)
ENSG00000273610,"RNA, 7SL, cytoplasmic 386, pseudogene(RN7SL386P)"
ENSG00000274940,microRNA 8083(MIR8083)
ENSG00000233154,long intergenic non-protein coding RNA 1762(LINC01762)
ENSG00000236674,DnaJ heat shock protein family (Hsp40) member C7 pseudogene(LOC441887)
ENSG00000236675,metaxin 1 pseudogene 1(MTX1P1)
ENSG00000197880,myelodysplastic syndrome 2 translocation associated(MDS2)
ENSG00000278073,microRNA 6726(MIR6726)
ENSG00000236679,ribosomal protein L23a pseudogene 24(RPL23AP24)
ENSG00000215717,transmembrane protein 167B(TMEM167B)
ENSG00000198734,coagulation factor V(F5)
ENSG00000197403,olfactory receptor family 6 subfamily N member 1(OR6N1)
ENSG00000224690,ubiquitin conjugating enzyme E2 D3 pseudogene 3(UBE2D3P3)
ENSG00000134644,pumilio RNA binding family member 1(PUM1)
ENSG00000058453,"ciliary rootlet coiled-coil, rootletin(CROCC)"
ENSG00000143105,potassium voltage-gated channel subfamily A member 10(KCNA10)
ENSG00000200220,"RNA, U6 small nuclear 179, pseudogene(RNU6-179P)"
ENSG00000143106,proteasome 20S subunit alpha 5(PSMA5)
ENSG00000143107,fibronectin type III domain containing 7(FNDC7)
ENSG00000224699,LAMTOR5 antisense RNA 1(LAMTOR5-AS1)
ENSG00000177807,potassium inwardly rectifying channel subfamily J member 10(KCNJ10)
ENSG00000229901,FOXO6 antisense RNA 1(FOXO6-AS1)
ENSG00000117281,CD160 molecule(CD160)
ENSG00000201558,"RNA, variant U1 small nuclear 6(RNVU1-6)"
ENSG00000234497,ERICH3 antisense RNA 1(ERICH3-AS1)
ENSG00000203737,G protein-coupled receptor 52(GPR52)
ENSG00000202408,"RNA, variant U1 small nuclear 21(RNVU1-21)"
ENSG00000203739,PRDX6 antisense RNA 1(PRDX6-AS1)
